family,shape,params,ms
regGen,262x1024x2816,BK=16;TM=2;TN=2;sgC=4;sgR=1,0.283333
regGen,262x2112x2816,BK=16;TM=4;TN=1;sgC=4;sgR=1,0.463333
regGen,320x1024x2816,BK=16;TM=4;TN=2;sgC=1;sgR=1,0.336667
regGen,320x2048x2816,BK=16;TM=2;TN=2;sgC=1;sgR=1,0.506667
regGen,320x4096x2816,BK=16;TM=4;TN=2;sgC=4;sgR=1,0.783333
regGen,320x2816x8192,BK=16;TM=4;TN=1;sgC=2;sgR=1,1.616667
regGen,320x2112x2816,BK=16;TM=2;TN=2;sgC=2;sgR=2,0.496667
regGen,320x2816x2112,BK=16;TM=1;TN=2;sgC=2;sgR=2,0.566667
mulMvQ4K,1x2560x1536,R=1;W=1,0.008636
mulMvQ4Kf32,1x2560x1536,NR0=4;NSG=4,0.005935
mulMvQ4K,1x1536x2048,R=2;W=1,0.007300
mulMvQ4Kf32,1x1536x2048,NR0=2;NSG=1,0.004568
mulMvQ4K,1x12288x1536,R=4;W=1,0.035109
mulMvQ4Kf32,1x12288x1536,NR0=4;NSG=1,0.020691
mulMvQ4Kf32,1x1536x6144,NR0=2;NSG=2,0.010762
mulMvQ4Kf32,1x1536x12288,NR0=2;NSG=1,0.020662
mulMvQ4K,1x262144x1536,R=8;W=1,0.712080
mulMvQ4Kf32,1x262144x1536,NR0=4;NSG=2,0.430523
